,Name,Start Date,End Date,Location,Campaign,U.S. Casualties,Result,Opposing Force,latitude,longitude
23,Battle of Wake Island,"December 8, 1941","December 23, 1941","Wake Island, United States Minor Outlying Islands",,"627(130 killed, 49 wounded and 448 captured)[3]",Japanese victory,Japan,19.31,166.6
24,Battle of Bataan,"January 7, 1942","April 9, 1942",Bataan Peninsula,Philippines Campaign (1941–1942),"15,000 captured and interned[3]",Japanese victory,Japan,14.66667,120.41667
25,Doolittle Raid,"April 18, 1942",,Tokyo,,3 killed and 8 later died in captivity/executed,US propaganda victory,Japan,35.68945633,139.6917161
26,Battle of the Coral Sea,"May 4, 1942","May 8, 1942","Solomon, South Australia",New Guinea campaign,656 killed,"Japanese tactical victory, Allied strategic victory",Japan,-33.19564,136.37162
27,Battle of Milne Bay,"August 25, 1942","September 7, 1942",Milne Bay,New Guinea campaign,14 killed[3],Allied victory,Japan,-10.55262,150.31494
28,Battle of Driniumor River,"July 10, 1944","August 25, 1944","Aitape, Sandaun",New Guinea campaign,"3,000 (440 killed and 2,560 wounded)[3]",American victory,Japan,-3.13744,142.3475
29,Battle of Midway,"June 3, 1942","June 7, 1942",Midway-atoll,,307 killed[12],American victory,Japan,28.228,-177.389
30,Battle of Guadalcanal,"August 7, 1942","February 9, 1943",Guadalcanal,Solomon Islands campaign,"~6,000(1,600 killed, 4,400 wounded and missing they were never found)[13]",Allied victory,Japan,-9.75,160
31,Battle of the Santa Cruz Islands,"October 25, 1942","October 27, 1942",Santa Cruz Islands,Solomon Islands campaign,266 killed[3],"Japanese tactical victory, American strategic victory",Japan,-11,166.25
32,Battle of Tarawa,"November 20, 1943","November 23, 1943",Tarawa Atoll,Gilbert and Marshall Islands campaign,"3,296(1,000 killed and 2,296 wounded)[3]",American victory,Japan,1.419,172.985
33,Battle of Kwajalein,"January 31, 1944","February 3, 1944",Kwajalein Atoll,Gilbert and Marshall Islands campaign,"1,964(372 killed and 1,592 wounded)[3]",American victory,Japan,9.182,167.308
34,Battle of Eniwetok,"February 17, 1944","February 23, 1944",Bokoluo,Gilbert and Marshall Islands campaign,"1,269 (313 killed, 879 wounded, 77 missing)[3]",American victory,Japan,11.64183,162.14458
35,Battle of Saipan,"June 15, 1944","July 9, 1944",Saipan,Mariana and Palau Islands campaign,"13,313(2,949 killed and 10,364 wounded)[3]",American victory,Japan,15.20756,145.72108
36,Battle of Guam (1944),"July 21, 1944","August 8, 1944",Mariana Islands,Mariana and Palau Islands campaign,"7,800(1,747 killed and 6,053 wounded)[3]",Allied victory,Japan,13.481,144.736
37,Battle of Tinian,"July 24, 1944","August 1, 1944",Tinian,Mariana and Palau Islands campaign,"1,919 (326 killed and 1,593 wounded)[3]",American victory,Japan,15.00254436,145.6267949
38,Battle of Peleliu,"September 15, 1944","November 27, 1944",Peleliu,Mariana and Palau Islands campaign,"9,804(1,794 killed and 8,010 wounded)[3]",American victory,Japan,6.993,134.232
39,Battle of Angaur,"September 17, 1944","September 30, 1944",Angaur,Mariana and Palau Islands campaign,260 killed[3],American victory,Japan,6.89,134.126
40,Battle of Leyte Gulf,"October 23, 1944","October 26, 1944",Leyte Gulf,Philippines campaign (1944–45),"~1,500 killed[3]",Allied victory,Japan,10.83333,125.41667
41,Battle of Luzon,"January 9, 1945","August 15, 1945","Luzon, Governor Generoso, Davao Oriental, Davao Region",Philippines campaign (1944–45),"~37,870(8,310 killed and 29,560 wounded)[3]",Allied victory,Japan,6.51905,126.09205
42,Battle of Manila,"February 3, 1945","March 3, 1945","Manila, First District NCR, National Capital Region",Philippines campaign (1944–45),"6,575(1,010 killed and 5,565 wounded)[3]",Allied victory,Japan,14.58864,120.98454
43,Battle of Iwo Jima,"February 19, 1945","March 26, 1945",Iwo Jima,Volcano and Ryukyu Islands campaign,"26,038(6,821 killed and 19,217 wounded)[3]",American victory,Japan,24.78333,141.33333
44,Battle of Okinawa,"April 1, 1945","June 22, 1945",Okinawa,Volcano and Ryukyu Islands campaign,"51,429(12,513 killed and 38,916 wounded)[3]",Allied victory,Japan,26.21228115,127.6809469
